index,polynomial,operation,operand 1,operand 2,cost,order
188,15x+2,ADD,137,2,3,1
189,17x+2,ADD,53,13,4,1
190,23x+2,ADD,31,138,5,1
191,26x+2,ADD,143,13,4,1
192,27x+2,ADD,140,2,3,1
193,19x+2,ADD,54,13,4,1
194,21x+2,ADD,138,2,3,1
195,14x+3,ADD,52,3,3,1
196,16x+3,ADD,53,3,3,1
197,18x+3,ADD,54,3,3,1
198,20x+3,ADD,55,3,3,1
199,22x+3,ADD,138,14,4,1
200,15x+3,MULT,57,3,3,1
201,17x+3,ADD,53,14,4,1
202,23x+3,ADD,32,138,5,1
203,26x+3,ADD,143,14,4,1
204,27x+3,MULT,61,3,3,1
205,19x+3,ADD,54,14,4,1
206,21x+3,MULT,59,3,3,1
207,14x+4,ADD,52,4,3,1
208,16x+4,ADD,53,4,3,1
209,18x+4,ADD,54,4,3,1
210,20x+4,ADD,55,4,3,1
211,22x+4,MULT,78,2,4,1
212,15x+4,ADD,137,4,3,1
213,17x+4,ADD,53,15,4,1
214,23x+4,ADD,33,138,5,1
215,26x+4,ADD,143,15,4,1
216,19x+4,ADD,54,15,4,1
217,21x+4,ADD,138,4,3,1
218,14x+5,ADD,52,5,3,1
219,16x+5,ADD,53,5,3,1
220,18x+5,ADD,54,5,3,1
221,20x+5,ADD,55,5,3,1
222,22x+5,ADD,138,16,4,1
223,15x+5,MULT,40,5,3,1
224,17x+5,ADD,53,16,4,1
225,23x+5,ADD,34,138,5,1
226,19x+5,ADD,54,16,4,1
227,21x+5,ADD,138,5,3,1
228,14x+6,ADD,52,6,3,1
229,16x+6,ADD,53,6,3,1
230,18x+6,MULT,40,6,3,1
231,20x+6,ADD,55,6,3,1
232,22x+6,MULT,88,2,4,1
233,15x+6,MULT,72,3,3,1
234,17x+6,ADD,53,17,4,1
235,23x+6,ADD,35,138,5,1
236,19x+6,ADD,54,17,4,1
237,21x+6,MULT,74,3,3,1
238,16x+7,ADD,53,7,3,1
239,18x+7,ADD,54,7,3,1
240,20x+7,ADD,55,7,3,1
241,22x+7,ADD,138,18,4,1
242,15x+7,ADD,137,7,3,1
243,17x+7,ADD,53,18,4,1
244,23x+7,ADD,36,138,5,1
245,19x+7,ADD,54,18,4,1
246,21x+7,MULT,40,7,3,1
247,14x+8,ADD,52,8,3,1
248,18x+8,ADD,54,8,3,1
249,20x+8,ADD,55,8,3,1
250,22x+8,MULT,95,2,4,1
251,15x+8,ADD,137,8,3,1
252,17x+8,ADD,53,19,4,1
253,19x+8,ADD,54,19,4,1
254,21x+8,ADD,138,8,3,1
255,14x+9,ADD,52,9,3,1
256,16x+9,ADD,53,9,3,1
257,20x+9,ADD,55,9,3,1
258,15x+9,MULT,82,3,3,1
259,17x+9,ADD,53,20,4,1
260,19x+9,ADD,54,20,4,1
261,21x+9,MULT,84,3,3,1
262,14x+10,ADD,52,10,3,1
263,16x+10,ADD,53,10,3,1
264,18x+10,ADD,54,10,3,1
265,15x+10,MULT,41,5,3,1
266,17x+10,ADD,53,21,4,1
267,19x+10,ADD,54,21,4,1
268,24x+1,ADD,139,1,3,1
269,28x+1,ADD,142,1,3,1
270,24x+2,ADD,139,2,3,1
271,28x+2,ADD,142,2,3,1
272,24x+3,MULT,60,3,3,1
273,24x+4,MULT,58,4,3,1
274,24x+5,ADD,139,5,3,1
275,24x+6,MULT,56,6,3,1
276,22x,MULT,50,2,3,1
277,23x,ADD,52,28,4,1
278,29x,ADD,142,0,3,1
279,26x,ADD,143,0,3,1
280,25x+1,ADD,143,1,3,1
281,25x+2,ADD,143,2,3,1
282,25x+3,ADD,143,3,3,1
283,25x+4,ADD,143,4,3,1
284,25x+5,MULT,57,5,3,1
