#,tests=100,N=3,scale=1,coefs=5
horner,greedy,random,anneal,basin
6,8,6,7,7
6,9,7,7,8
5,6,5,6,7
7,9,7,8,8
7,9,7,8,7
6,7,7,7,7
10,12,10,10,11
11,13,11,11,11
12,15,12,13,15
9,11,9,11,9
9,10,9,8,8
9,10,9,9,11
12,12,11,11,12
5,7,5,6,6
9,11,9,11,11
9,10,9,9,9
10,11,10,10,9
12,13,11,11,13
9,10,9,9,9
6,6,6,6,7
11,10,9,9,10
16,20,14,13,16
9,10,10,10,11
10,11,10,9,10
10,11,9,9,11
8,8,7,8,9
8,9,8,9,9
10,10,10,10,10
12,12,11,10,12
14,14,13,12,15
7,7,6,7,7
6,6,6,6,6
6,8,6,8,8
16,19,15,17,15
9,9,9,9,10
10,11,10,11,11
5,6,5,6,6
8,9,8,9,9
12,13,12,12,16
12,15,12,14,14
11,12,11,11,10
3,3,3,3,4
14,15,13,13,14
8,9,8,9,10
12,13,10,9,13
14,18,13,15,16
11,12,11,12,12
9,10,9,9,10
10,11,10,11,13
7,9,7,8,8
6,7,6,7,6
12,13,11,11,12
6,9,7,8,7
12,14,12,10,15
10,13,9,11,10
11,13,11,11,12
11,15,12,12,12
9,12,9,10,11
5,6,5,5,7
5,6,5,6,6
8,9,7,8,8
10,10,8,9,9
6,6,6,6,6
6,8,6,7,6
6,8,6,8,8
6,7,6,7,7
9,10,9,10,11
8,10,8,9,10
11,13,11,11,13
4,4,4,4,4
9,11,9,10,10
7,7,6,6,7
6,8,6,7,6
12,12,11,11,11
7,8,7,8,8
9,9,9,9,10
9,8,8,8,10
6,6,6,6,7
10,11,9,9,10
10,12,9,11,10
10,11,11,11,11
9,11,9,10,10
7,8,7,8,8
6,8,6,8,9
8,9,7,9,8
10,13,10,11,10
6,7,6,6,6
14,16,12,12,12
8,9,9,9,10
5,5,5,5,5
8,9,9,9,9
6,7,6,7,8
10,14,10,10,12
9,10,9,9,10
9,10,9,10,10
3,3,3,3,3
13,15,13,12,13
6,8,6,8,8
11,12,10,10,12
4,4,4,4,5
