#,tests=100,N=10,scale=3,coefs=100
horner,greedy,random,anneal,basin
872,732,824,730,739
914,755,839,726,767
902,726,848,751,763
943,740,823,741,809
877,721,805,705,787
836,720,803,680,789
851,716,820,711,786
781,718,783,670,757
885,752,813,719,770
796,722,828,734,805
738,693,784,675,740
844,707,815,705,717
827,701,793,707,763
873,705,830,723,784
1006,737,834,755,807
822,718,829,732,745
844,749,849,742,780
845,744,841,715,794
865,708,811,703,740
853,741,830,717,796
893,726,845,751,821
957,730,846,720,768
823,718,817,681,742
908,812,843,752,761
797,712,782,672,751
930,726,833,721,828
871,717,832,737,785
869,743,832,698,744
951,730,813,707,733
831,692,822,727,751
851,698,782,700,732
995,733,842,731,783
849,745,840,743,782
897,707,818,721,816
882,785,813,721,763
921,757,851,723,781
832,688,792,699,714
973,764,859,747,796
883,729,819,713,800
856,740,836,727,759
901,717,830,738,755
897,736,857,752,772
837,726,803,720,755
1020,789,861,719,781
1014,773,848,734,795
878,744,852,697,767
924,754,826,722,762
900,723,812,726,786
885,729,833,722,791
901,708,833,738,754
880,704,813,723,805
893,702,817,724,711
857,702,805,709,766
863,690,778,705,724
959,727,832,755,794
927,733,860,742,782
919,684,822,709,815
801,715,791,688,728
949,734,871,734,790
870,737,838,730,868
844,724,819,730,775
