#,tests=100,N=10,scale=1,coefs=25
horner,greedy,random,anneal,basin
107,127,125,113,112
102,126,125,106,113
105,136,135,110,117
106,117,120,104,113
106,133,126,112,110
108,130,124,112,102
96,127,115,110,110
110,132,131,117,117
117,147,150,131,130
103,118,112,103,111
116,134,137,122,132
116,125,134,103,113
107,141,136,119,119
87,115,112,100,105
100,124,127,114,117
102,122,121,105,107
105,140,129,112,118
130,156,139,119,130
109,140,133,118,129
104,140,130,109,121
93,116,121,107,113
99,125,123,109,120
117,133,130,107,115
114,145,141,117,125
120,145,145,124,119
103,133,134,114,110
106,131,126,114,117
105,134,137,115,115
115,146,135,116,119
98,119,123,98,111
89,124,117,106,112
107,142,138,129,128
111,135,129,115,118
100,126,122,100,106
108,130,127,117,116
105,126,124,109,117
108,124,125,114,112
108,150,139,120,122
113,134,137,122,118
103,132,132,115,117
97,132,127,108,112
100,120,128,113,121
113,138,143,120,124
106,143,127,118,113
108,127,130,108,121
104,125,124,116,120
97,130,123,111,110
110,126,125,105,112
117,137,139,129,129
95,122,122,112,111
112,140,138,123,133
105,131,129,109,112
102,137,129,119,115
98,120,125,109,113
120,133,128,116,127
121,134,138,116,122
88,109,110,93,100
110,142,133,117,135
116,139,141,114,123
106,125,128,115,114
116,137,132,111,121
103,137,134,125,118
92,121,118,102,109
112,139,134,111,117
98,124,124,109,104
108,127,128,114,112
109,138,133,116,125
103,130,127,107,117
124,149,149,126,121
113,150,144,122,129
114,147,134,117,120
100,136,132,115,118
110,136,131,112,112
122,150,141,120,131
114,133,132,116,126
121,153,144,133,135
100,129,128,112,113
96,111,118,99,109
103,133,121,115,114
110,136,132,118,125
113,141,135,111,133
104,121,119,100,112
107,145,139,116,124
112,134,132,120,136
106,125,125,104,117
95,117,115,99,103
111,134,127,107,113
114,139,137,119,116
113,144,154,130,123
95,140,131,117,126
116,130,136,118,127
105,131,130,111,109
110,143,136,120,129
102,129,119,108,118
109,127,129,112,110
111,147,134,114,121
116,124,129,113,115
111,134,135,118,124
117,142,143,122,124
104,141,122,116,107
