#,tests=100,N=3,scale=3,coefs=25
horner,greedy,random,anneal,basin
80,65,62,62,63
78,54,53,52,53
85,79,70,60,62
101,68,68,57,61
73,63,63,58,55
71,62,62,50,50
82,66,65,63,61
76,69,61,57,60
82,62,61,57,62
78,66,67,61,55
88,72,73,59,68
69,57,62,53,53
61,53,49,46,47
84,78,65,57,68
78,63,69,59,68
93,65,68,60,68
78,63,59,58,59
81,63,62,57,56
64,57,58,52,52
102,72,65,61,63
74,67,63,57,57
113,82,73,65,60
71,61,61,56,54
66,61,59,53,54
70,62,61,54,61
69,67,58,52,53
55,50,51,47,46
74,66,72,65,65
99,73,68,69,65
93,93,69,65,62
87,72,67,62,59
