#,tests=100,N=3,scale=3,coefs=5
horner,greedy,random,anneal,basin
25,21,19,18,19
20,19,16,17,17
23,26,20,20,21
33,31,23,22,27
26,23,19,20,22
22,28,20,23,20
23,23,20,16,17
28,24,24,19,21
25,34,23,20,25
30,34,23,22,24
22,27,20,21,26
23,23,19,19,20
23,24,19,21,18
24,26,23,21,24
32,36,33,28,31
28,29,20,19,23
15,15,14,15,15
21,28,20,19,19
39,37,29,24,25
25,20,20,18,21
24,27,21,19,21
31,30,24,23,24
27,35,23,21,23
26,22,19,17,19
24,25,17,19,19
45,32,27,24,28
21,23,18,16,19
27,32,26,25,27
16,20,15,15,15
20,21,19,18,19
21,24,18,20,20
18,23,17,16,20
22,29,21,21,21
17,21,18,17,19
35,32,22,24,24
24,23,21,20,26
15,17,16,14,16
22,26,21,19,19
31,29,24,22,24
27,28,24,21,24
27,25,24,25,24
28,31,23,22,20
11,15,11,11,12
27,28,23,18,28
12,13,13,13,14
21,27,20,25,21
20,23,20,17,20
25,26,21,21,19
23,19,18,17,22
34,33,23,18,27
45,47,33,30,30
30,23,21,20,22
18,22,19,20,22
32,23,23,22,25
26,26,22,22,21
19,19,17,18,20
28,31,21,19,24
15,15,15,14,18
15,18,15,14,15
19,18,16,18,17
33,32,28,24,26
31,25,21,22,22
27,29,22,21,23
16,20,17,17,16
31,27,24,24,23
31,24,24,20,22
28,26,22,21,20
24,23,20,19,22
46,34,28,27,27
33,32,23,22,22
18,21,18,16,19
17,16,17,15,19
39,30,27,23,26
26,25,21,19,21
26,28,21,20,24
26,28,19,21,22
42,28,24,25,25
19,21,19,17,20
18,19,15,20,18
11,12,10,9,11
26,22,23,21,23
23,25,20,21,19
18,19,17,16,17
31,36,25,23,22
24,26,20,21,19
20,22,18,19,19
34,30,23,25,25
23,26,21,18,18
26,23,22,20,22
31,31,23,25,30
22,29,23,22,23
36,31,25,22,25
15,18,13,17,14
19,21,16,17,17
28,33,24,21,26
33,33,27,28,28
25,22,24,21,21
28,31,25,23,25
26,26,23,22,23
46,41,34,31,32
